====iter_24900: fit=1.4440, reg=1.1372, thom=5.1445, thomf=4.9763, acc=0.6094
====iter_25000: fit=1.5235, reg=1.1357, thom=5.1437, thomf=4.9763, acc=0.5859
====iter_25100: fit=1.2749, reg=1.1362, thom=5.1438, thomf=4.9762, acc=0.6797
====iter_25200: fit=1.2650, reg=1.1373, thom=5.1437, thomf=4.9767, acc=0.6250
====iter_25300: fit=1.3956, reg=1.1370, thom=5.1437, thomf=4.9766, acc=0.6641
====iter_25400: fit=1.4517, reg=1.1358, thom=5.1450, thomf=4.9762, acc=0.5703
====iter_25500: fit=1.5786, reg=1.1392, thom=5.1447, thomf=4.9753, acc=0.5391
====iter_25600: fit=1.2099, reg=1.1405, thom=5.1444, thomf=4.9766, acc=0.6328
====iter_25700: fit=1.7043, reg=1.1403, thom=5.1440, thomf=4.9773, acc=0.5703
====iter_25800: fit=1.3610, reg=1.1418, thom=5.1441, thomf=4.9760, acc=0.6406
====iter_25900: fit=1.3644, reg=1.1405, thom=5.1438, thomf=4.9758, acc=0.6484
====iter_26000: fit=1.5409, reg=1.1440, thom=5.1443, thomf=4.9764, acc=0.5938
====iter_26100: fit=1.4241, reg=1.1430, thom=5.1442, thomf=4.9762, acc=0.6250
====iter_26200: fit=1.4102, reg=1.1423, thom=5.1442, thomf=4.9757, acc=0.6250
====iter_26300: fit=1.3312, reg=1.1484, thom=5.1439, thomf=4.9763, acc=0.6172
====iter_26400: fit=1.6059, reg=1.1459, thom=5.1443, thomf=4.9766, acc=0.5703
====iter_26500: fit=1.6251, reg=1.1441, thom=5.1444, thomf=4.9765, acc=0.5469
====iter_26600: fit=1.5388, reg=1.1429, thom=5.1438, thomf=4.9762, acc=0.5938
====iter_26700: fit=1.2856, reg=1.1461, thom=5.1434, thomf=4.9764, acc=0.6172
====iter_26800: fit=1.5074, reg=1.1446, thom=5.1438, thomf=4.9763, acc=0.5938
====iter_26900: fit=1.3131, reg=1.1434, thom=5.1442, thomf=4.9768, acc=0.6562
====iter_27000: fit=1.6481, reg=1.1446, thom=5.1443, thomf=4.9751, acc=0.5625
====iter_27100: fit=1.5336, reg=1.1463, thom=5.1445, thomf=4.9760, acc=0.6250
====iter_27200: fit=1.5193, reg=1.1446, thom=5.1443, thomf=4.9767, acc=0.5703
====iter_27300: fit=1.6131, reg=1.1414, thom=5.1438, thomf=4.9769, acc=0.5547
====iter_27400: fit=1.2937, reg=1.1405, thom=5.1438, thomf=4.9762, acc=0.6484
====iter_27500: fit=1.4893, reg=1.1432, thom=5.1439, thomf=4.9759, acc=0.6094
====iter_27600: fit=1.3904, reg=1.1419, thom=5.1435, thomf=4.9761, acc=0.6016
====iter_27700: fit=1.2147, reg=1.1413, thom=5.1440, thomf=4.9760, acc=0.6953
====iter_27800: fit=1.2300, reg=1.1438, thom=5.1438, thomf=4.9757, acc=0.6484
====iter_27900: fit=1.3868, reg=1.1449, thom=5.1437, thomf=4.9761, acc=0.6719
====iter_28000: fit=1.5231, reg=1.1489, thom=5.1430, thomf=4.9769, acc=0.5703
====iter_28100: fit=1.1964, reg=1.1480, thom=5.1433, thomf=4.9762, acc=0.6797
====iter_28200: fit=1.2838, reg=1.1515, thom=5.1439, thomf=4.9760, acc=0.6719
====iter_28300: fit=1.4355, reg=1.1564, thom=5.1436, thomf=4.9770, acc=0.6016
====iter_28400: fit=1.4836, reg=1.1519, thom=5.1438, thomf=4.9767, acc=0.6094
====iter_28500: fit=1.3033, reg=1.1496, thom=5.1437, thomf=4.9769, acc=0.6484
====iter_28600: fit=1.4442, reg=1.1541, thom=5.1437, thomf=4.9761, acc=0.6406
====iter_28700: fit=1.6419, reg=1.1553, thom=5.1440, thomf=4.9767, acc=0.5703
====iter_28800: fit=1.6238, reg=1.1566, thom=5.1440, thomf=4.9764, acc=0.5469
