====iter_16700: fit=1.3725, reg=1.0665, thom=5.1251, thomf=4.9777, acc=0.6875
====iter_16800: fit=1.2359, reg=1.0671, thom=5.1250, thomf=4.9778, acc=0.6562
====iter_16900: fit=1.5118, reg=1.0676, thom=5.1251, thomf=4.9772, acc=0.5938
====iter_17000: fit=1.6057, reg=1.0682, thom=5.1249, thomf=4.9769, acc=0.5234
====iter_17100: fit=1.9268, reg=1.0685, thom=5.1250, thomf=4.9772, acc=0.5078
====iter_17200: fit=1.6078, reg=1.0687, thom=5.1252, thomf=4.9776, acc=0.5469
====iter_17300: fit=1.5249, reg=1.0707, thom=5.1250, thomf=4.9769, acc=0.5859
====iter_17400: fit=1.4711, reg=1.0715, thom=5.1252, thomf=4.9769, acc=0.5781
====iter_17500: fit=1.6268, reg=1.0714, thom=5.1249, thomf=4.9782, acc=0.5625
====iter_17600: fit=1.6022, reg=1.0690, thom=5.1244, thomf=4.9772, acc=0.5469
====iter_17700: fit=1.4027, reg=1.0721, thom=5.1246, thomf=4.9772, acc=0.6406
====iter_17800: fit=1.2839, reg=1.0712, thom=5.1247, thomf=4.9771, acc=0.6484
====iter_17900: fit=1.4820, reg=1.0718, thom=5.1246, thomf=4.9773, acc=0.6328
====iter_18000: fit=1.3968, reg=1.0705, thom=5.1245, thomf=4.9765, acc=0.6016
====iter_18100: fit=1.4163, reg=1.0745, thom=5.1247, thomf=4.9773, acc=0.5938
====iter_18200: fit=1.5044, reg=1.0769, thom=5.1246, thomf=4.9778, acc=0.5547
====iter_18300: fit=1.5382, reg=1.0757, thom=5.1245, thomf=4.9778, acc=0.5859
====iter_18400: fit=1.4403, reg=1.0769, thom=5.1243, thomf=4.9774, acc=0.6094
====iter_18500: fit=1.4918, reg=1.0785, thom=5.1243, thomf=4.9775, acc=0.5859
====iter_18600: fit=1.5465, reg=1.0802, thom=5.1246, thomf=4.9780, acc=0.5781
====iter_18700: fit=1.6225, reg=1.0791, thom=5.1245, thomf=4.9773, acc=0.5938
====iter_18800: fit=1.4457, reg=1.0819, thom=5.1244, thomf=4.9777, acc=0.6406
====iter_18900: fit=1.5373, reg=1.0807, thom=5.1243, thomf=4.9775, acc=0.5781
====iter_19000: fit=1.0559, reg=1.0778, thom=5.1242, thomf=4.9777, acc=0.7656
====iter_19100: fit=1.6108, reg=1.0744, thom=5.1241, thomf=4.9782, acc=0.5703
====iter_19200: fit=1.5456, reg=1.0775, thom=5.1243, thomf=4.9773, acc=0.6328
====iter_19300: fit=1.2895, reg=1.0818, thom=5.1244, thomf=4.9771, acc=0.6406
====iter_19400: fit=1.3997, reg=1.0829, thom=5.1242, thomf=4.9782, acc=0.6172
====iter_19500: fit=1.4695, reg=1.0806, thom=5.1243, thomf=4.9781, acc=0.5859
====iter_19600: fit=1.5295, reg=1.0812, thom=5.1242, thomf=4.9764, acc=0.5938
====iter_19700: fit=1.4388, reg=1.0834, thom=5.1240, thomf=4.9773, acc=0.6406
====iter_19800: fit=1.4924, reg=1.0836, thom=5.1242, thomf=4.9776, acc=0.5859
====iter_19900: fit=1.2783, reg=1.0839, thom=5.1240, thomf=4.9770, acc=0.6250
====iter_20000: fit=1.4561, reg=1.0855, thom=5.1240, thomf=4.9780, acc=0.6641
====iter_20100: fit=1.4081, reg=1.0868, thom=5.1242, thomf=4.9776, acc=0.5938
====iter_20200: fit=1.5319, reg=1.0883, thom=5.1242, thomf=4.9777, acc=0.5938
====iter_20300: fit=1.3176, reg=1.0866, thom=5.1238, thomf=4.9770, acc=0.5859
====iter_20400: fit=1.6297, reg=1.0883, thom=5.1244, thomf=4.9769, acc=0.6406
====iter_20500: fit=1.5180, reg=1.0872, thom=5.1240, thomf=4.9773, acc=0.6094
