====iter_24600: fit=1.2828, reg=1.0859, thom=5.1224, thomf=4.9778, acc=0.6250
====iter_24700: fit=1.1740, reg=1.0881, thom=5.1227, thomf=4.9775, acc=0.6406
====iter_24800: fit=1.3861, reg=1.0907, thom=5.1233, thomf=4.9780, acc=0.6016
====iter_24900: fit=1.4935, reg=1.0896, thom=5.1230, thomf=4.9782, acc=0.5703
====iter_25000: fit=1.4769, reg=1.0868, thom=5.1216, thomf=4.9768, acc=0.5938
====iter_25100: fit=1.3298, reg=1.0887, thom=5.1230, thomf=4.9761, acc=0.6484
====iter_25200: fit=1.7060, reg=1.0914, thom=5.1245, thomf=4.9769, acc=0.5859
====iter_25300: fit=1.7302, reg=1.0902, thom=5.1221, thomf=4.9778, acc=0.5703
====iter_25400: fit=1.4857, reg=1.0917, thom=5.1220, thomf=4.9769, acc=0.5938
====iter_25500: fit=1.2712, reg=1.0943, thom=5.1227, thomf=4.9774, acc=0.6562
====iter_25600: fit=1.7514, reg=1.0949, thom=5.1233, thomf=4.9774, acc=0.5234
====iter_25700: fit=1.5792, reg=1.0934, thom=5.1224, thomf=4.9785, acc=0.5547
====iter_25800: fit=1.1905, reg=1.0922, thom=5.1228, thomf=4.9772, acc=0.6641
====iter_25900: fit=1.5215, reg=1.0927, thom=5.1228, thomf=4.9778, acc=0.5547
====iter_26000: fit=1.5901, reg=1.0910, thom=5.1231, thomf=4.9778, acc=0.5625
====iter_26100: fit=1.5940, reg=1.0911, thom=5.1235, thomf=4.9781, acc=0.5859
====iter_26200: fit=1.4965, reg=1.0935, thom=5.1229, thomf=4.9772, acc=0.6172
====iter_26300: fit=1.4562, reg=1.0964, thom=5.1232, thomf=4.9780, acc=0.6328
====iter_26400: fit=1.6715, reg=1.0952, thom=5.1228, thomf=4.9780, acc=0.5156
====iter_26500: fit=1.6682, reg=1.0965, thom=5.1236, thomf=4.9787, acc=0.5625
====iter_26600: fit=1.5711, reg=1.0977, thom=5.1231, thomf=4.9788, acc=0.5859
====iter_26700: fit=1.2796, reg=1.0981, thom=5.1237, thomf=4.9781, acc=0.6484
====iter_26800: fit=1.3745, reg=1.0953, thom=5.1228, thomf=4.9783, acc=0.6406
====iter_26900: fit=1.8880, reg=1.0923, thom=5.1227, thomf=4.9777, acc=0.5000
====iter_27000: fit=1.7080, reg=1.0934, thom=5.1242, thomf=4.9776, acc=0.5547
====iter_27100: fit=1.2331, reg=1.0957, thom=5.1238, thomf=4.9777, acc=0.6719
====iter_27200: fit=1.5683, reg=1.0971, thom=5.1239, thomf=4.9786, acc=0.6250
====iter_27300: fit=1.3836, reg=1.0950, thom=5.1227, thomf=4.9785, acc=0.5938
====iter_27400: fit=1.6215, reg=1.0967, thom=5.1232, thomf=4.9781, acc=0.5625
====iter_27500: fit=1.5832, reg=1.0991, thom=5.1236, thomf=4.9779, acc=0.5859
====iter_27600: fit=1.4991, reg=1.0998, thom=5.1234, thomf=4.9780, acc=0.6016
====iter_27700: fit=1.3311, reg=1.1002, thom=5.1232, thomf=4.9791, acc=0.6719
====iter_27800: fit=1.3465, reg=1.1012, thom=5.1232, thomf=4.9777, acc=0.6641
====iter_27900: fit=1.4608, reg=1.0985, thom=5.1232, thomf=4.9778, acc=0.6406
====iter_28000: fit=1.4830, reg=1.0958, thom=5.1233, thomf=4.9785, acc=0.6094
====iter_28100: fit=1.1214, reg=1.0956, thom=5.1241, thomf=4.9780, acc=0.6719
====iter_28200: fit=1.4616, reg=1.0983, thom=5.1236, thomf=4.9778, acc=0.6250
====iter_28300: fit=1.2892, reg=1.0969, thom=5.1233, thomf=4.9786, acc=0.6484
====iter_28400: fit=1.5100, reg=1.0946, thom=5.1241, thomf=4.9781, acc=0.5859
====iter_28500: fit=1.3081, reg=1.0910, thom=5.1232, thomf=4.9778, acc=0.6406
====iter_28600: fit=1.5850, reg=1.0938, thom=5.1242, thomf=4.9772, acc=0.5938
====iter_28700: fit=1.4152, reg=1.0955, thom=5.1241, thomf=4.9784, acc=0.6172
====iter_28800: fit=1.5056, reg=1.0948, thom=5.1244, thomf=4.9783, acc=0.6172
====iter_28900: fit=1.4413, reg=1.0943, thom=5.1235, thomf=4.9775, acc=0.6562
====iter_29000: fit=1.6355, reg=1.0983, thom=5.1238, thomf=4.9776, acc=0.5391
